Filename,Topic 1,Topic 2,Topic 3
480204newsML.xml,14 (0.8055337191538512),4 (0.12970833319705194),41 (0.025766085482628417)
666093newsML.xml,25 (0.2290651077033711),41 (0.22791603968485205),21 (0.17200087048669283)
789707newsML.xml,42 (0.6165470026729314),17 (0.18849943501045363),3 (0.15578689564992176)
569978newsML.xml,46 (0.21799509293034303),17 (0.20604489689713093),23 (0.15168457244977768)
610920newsML.xml,19 (0.9782222222222201),49 (0.0004444444444444821),12 (0.0004444444444444821)
609416newsML.xml,24 (0.3536533476300228),7 (0.17766255985075477),36 (0.14531082539516213)
657829newsML.xml,12 (0.23945969179831217),32 (0.21186997032198068),40 (0.19234691697437803)
522572newsML.xml,2 (0.5461316675446909),8 (0.2878468190879109),38 (0.15177908912494803)
570487newsML.xml,5 (0.5866507847261696),21 (0.10485430129345932),41 (0.10208341500451798)
479614newsML.xml,36 (0.6023197784370357),38 (0.14162000024266014),28 (0.10749310195493045)
570164newsML.xml,23 (0.3855706584618549),39 (0.25412763443291253),24 (0.12947603608253574)
610111newsML.xml,42 (0.9171661891726504),9 (0.03244849668744687),33 (0.026885314139851454)
569149newsML.xml,16 (0.8310354863551443),1 (0.09781644921012538),39 (0.03313951628009174)
569180newsML.xml,41 (0.2564527007933907),46 (0.24007764763568937),27 (0.1532765687905967)
532154newsML.xml,14 (0.443970687970408),26 (0.2506444099720207),5 (0.23794703699183564)
569463newsML.xml,37 (0.41102468810131326),43 (0.18949027203622107),42 (0.10970498575923682)
645111newsML.xml,8 (0.4943819652630765),1 (0.2826722365361452),48 (0.1582432661222253)
570955newsML.xml,23 (0.6865470860887252),24 (0.14670203153634287),16 (0.08467940777292048)
522869newsML.xml,46 (0.5735695628756485),36 (0.19748563814024403),34 (0.16852954135707576)
479422newsML.xml,16 (0.7513586575297357),29 (0.09794843360824379),20 (0.08707753646617704)
570352newsML.xml,16 (0.7238998353384375),43 (0.1569854769787098),12 (0.06700916032429377)
570678newsML.xml,23 (0.2548116143626019),29 (0.24886393187153494),32 (0.20397888770589342)
609620newsML.xml,34 (0.7033377832173304),29 (0.29289751090031474),49 (7.843137254905489e-05)
479108newsML.xml,42 (0.8061280021094134),40 (0.11107902886471112),7 (0.07246329869616679)
522744newsML.xml,46 (0.6566221283233933),14 (0.13968175240112038),21 (0.07728269758441023)
666746newsML.xml,43 (0.2888626756725839),12 (0.2423378257145195),25 (0.13579747116625276)
479939newsML.xml,36 (0.4571278831872834),29 (0.20892002699463655),45 (0.09855825663061106)
645327newsML.xml,26 (0.8857981586629697),0 (0.09333227611963486),12 (0.00043478260869573546)
623683newsML.xml,33 (0.4317517845010669),13 (0.14475017596818493),5 (0.10937433610798193)
731438newsML.xml,18 (0.5053602532085721),17 (0.20933371265858217),23 (0.14706801866109798)
710095newsML.xml,11 (0.5948306100485087),13 (0.22792921137980604),14 (0.09602775738667013)
569655newsML.xml,12 (0.8679111914560113),44 (0.055446788539964584),2 (0.0337171413544588)
477924newsML.xml,23 (0.45818865323022406),39 (0.2698905192844456),46 (0.15964232766582273)
610327newsML.xml,16 (0.37661289113010027),29 (0.3262581427224814),21 (0.22244079101118672)
609882newsML.xml,16 (0.5989624643276574),12 (0.1084274603976311),40 (0.10615422517262993)
570813newsML.xml,4 (0.4869575780866235),24 (0.20824653948721483),29 (0.1783006799699961)
645057newsML.xml,5 (0.25950205400689175),45 (0.25181594449014366),22 (0.18785857095538486)
710606newsML.xml,5 (0.30884091133865615),11 (0.21022312770588836),41 (0.17308060528396776)
569525newsML.xml,16 (0.8373110966405443),42 (0.07051649581948898),17 (0.04519514268073314)
610057newsML.xml,27 (0.9971511627906955),49 (5.813953488376801e-05),12 (5.813953488376801e-05)
609599newsML.xml,42 (0.5900282877877654),10 (0.18491626559972296),32 (0.1359788185949252)
479752newsML.xml,16 (0.48039874479495714),32 (0.38559103564313696),4 (0.07665978424640049)
733784newsML.xml,5 (0.6725323291616793),2 (0.18019194513613093),37 (0.06616484544786576)
661020newsML.xml,5 (0.43317236970509887),45 (0.25809814858749974),23 (0.174361747280378)
570022newsML.xml,29 (0.5549621954661097),39 (0.22814037590037717),9 (0.09215580078257408)
612052newsML.xml,47 (0.507715935305072),46 (0.27059658236011713),6 (0.1362802545976221)
570508newsML.xml,2 (0.9836666666666641),49 (0.0003333333333333783),12 (0.0003333333333333783)
609550newsML.xml,36 (0.4422892955580002),1 (0.22673794659795427),5 (0.12769313977340113)
479278newsML.xml,11 (0.3480207405702515),44 (0.20406219966757835),48 (0.17287171510451674)
789688newsML.xml,29 (0.41785184832387967),22 (0.3333003365437714),11 (0.12261195394133909)
610866newsML.xml,19 (0.9824999999999944),49 (0.00035714285714296844),12 (0.00035714285714296844)
789641newsML.xml,34 (0.5068652260134828),8 (0.39402864694407513),15 (0.07992245357298042)
610261newsML.xml,16 (0.348978108336022),23 (0.24057092217418036),1 (0.16771496949058814)
569239newsML.xml,29 (0.7692218390193152),1 (0.13057928202578706),40 (0.056551833667129466)
610782newsML.xml,19 (0.8718473117741644),6 (0.10969114976428375),49 (0.00038461538461565713)
569713newsML.xml,12 (0.5697156621561934),16 (0.3353122233658879),29 (0.049278113160396174)
645261newsML.xml,23 (0.9129148319983117),3 (0.07317212452339779),12 (0.0002898550724643881)
609766newsML.xml,36 (0.8996359269601504),2 (0.0878965405723077),49 (0.0002597402597404601)
609285newsML.xml,23 (0.5496908819864917),8 (0.14203592105343413),7 (0.1303444119812337)
522602newsML.xml,8 (0.958460800167733),22 (0.02439634268938126),49 (0.0003571428571434436)
479564newsML.xml,34 (0.9032150283857544),29 (0.09354172837099967),49 (6.756756756762582e-05)
570214newsML.xml,39 (0.9589404531693517),12 (0.028427967883227205),49 (0.00026315789473794023)
479087newsML.xml,42 (0.9891111111111042),49 (0.00022222222222236524),11 (0.00022222222222236524)
478497newsML.xml,29 (0.2742959510820331),20 (0.24354325886961392),24 (0.24103328903664129)
478174newsML.xml,17 (0.45396268470482565),5 (0.1496111954166408),24 (0.14692878278345914)
608695newsML.xml,39 (0.41787334385997227),20 (0.36608489961573665),19 (0.15344556778522406)
608376newsML.xml,45 (0.6512918474833965),8 (0.20786409952169455),13 (0.12405833870918216)
480048newsML.xml,16 (0.8326084840681572),44 (0.08723271169675655),36 (0.07472527822351617)
480081newsML.xml,16 (0.710821737191362),13 (0.2565743854487283),3 (0.02291315571041315)
478945newsML.xml,39 (0.6724951035576588),43 (0.16963494425899955),32 (0.08708434826788193)
480562newsML.xml,14 (0.25221804321895713),27 (0.1893530961681045),41 (0.14375170078854363)
568303newsML.xml,39 (0.9496909120045027),29 (0.03030908799549283),49 (0.0004166666666667591)
611392newsML.xml,19 (0.9742105263153021),39 (0.0005263157899543775),49 (0.0005263157894738118)
611671newsML.xml,19 (0.9818518518518368),9 (0.00037037037037098385),49 (0.0003703703703706686)
568629newsML.xml,29 (0.7290552503690781),39 (0.18180711534104907),3 (0.04891658706770284)
568904newsML.xml,21 (0.7092496814884961),43 (0.21915676589110564),32 (0.055661349230556455)
611995newsML.xml,43 (0.4392298850602121),38 (0.4362656871386477),21 (0.05492483330120763)
478668newsML.xml,21 (0.2882679362660316),34 (0.16608024740114274),48 (0.16283052488010308)
571118newsML.xml,24 (0.4903663822919396),4 (0.1520097537070361),23 (0.1272969430401188)
608140newsML.xml,15 (0.43574532729551313),37 (0.3525048385747982),43 (0.14112423087416592)
694514newsML.xml,14 (0.9489397905756317),24 (0.028554702196984093),44 (0.020256703399628984)
608189newsML.xml,39 (0.9883333333333233),49 (0.00023809523809544526),11 (0.00023809523809544526)
478342newsML.xml,32 (0.6921018952323614),13 (0.10711181236905805),29 (0.10018299331987897)
611447newsML.xml,4 (0.6063612723080306),42 (0.3784006324538545),49 (0.0003174603174607197)
608971newsML.xml,29 (0.2972365924618663),23 (0.28487185084397204),11 (0.14343721190599495)
611737newsML.xml,19 (0.9815094339619175),39 (0.00037735849090576716),49 (0.000377358490566179)
478803newsML.xml,29 (0.7480744279680349),1 (0.16726377270075046),23 (0.05066596051383225)
480424newsML.xml,19 (0.9735135135133627),27 (0.000540540540677401),49 (0.0005405405405408266)
632356newsML.xml,29 (0.9061227107892493),19 (0.08437233871569608),49 (0.0001980198019803087)
478518newsML.xml,2 (0.4307751283879426),43 (0.280436305843112),37 (0.13277015152104893)
571268newsML.xml,9 (0.4841170101351807),22 (0.17167098042534684),5 (0.13668150991895892)
608230newsML.xml,23 (0.8619369376737507),42 (0.06313256086004165),3 (0.03550787071680554)
694387newsML.xml,29 (0.26130617425131925),13 (0.25088003049445023),24 (0.19337098547721185)
478032newsML.xml,23 (0.2550453865418459),39 (0.23049912737693165),36 (0.18628705086630523)
480338newsML.xml,27 (0.9431352519231858),31 (0.0547266634442945),26 (4.454342984416644e-05)
608837newsML.xml,44 (0.21614704174606592),11 (0.18661126258858027),25 (0.18538103668949285)
480612newsML.xml,14 (0.581512264396169),20 (0.28892447855525916),24 (0.06105716392487521)
568590newsML.xml,23 (0.6966707601708789),3 (0.1787961385346188),39 (0.0625688250381387)
611501newsML.xml,19 (0.9786956521739084),49 (0.00043478260869574164),12 (0.00043478260869574164)
568559newsML.xml,42 (0.8047872553946778),23 (0.11666628927978806),12 (0.069842751621817)
694452newsML.xml,16 (0.8094567973697806),4 (0.13923145846715276),24 (0.030547584691430846)
478204newsML.xml,29 (0.3482522695219422),39 (0.23683259598102796),23 (0.15403815720476227)
571097newsML.xml,16 (0.5348788857568728),12 (0.11874025113572378),23 (0.11489930759407146)
523162newsML.xml,40 (0.7164115677406087),33 (0.11536864027261662),19 (0.09940625065558593)
714269newsML.xml,37 (0.41860705836759415),23 (0.22527148154129864),35 (0.14673689260987488)
568842newsML.xml,44 (0.298638661474398),5 (0.29285240996455664),1 (0.14816823174482371)
570869newsML.xml,23 (0.6190482126404644),4 (0.22270082422410614),16 (0.13647949384485838)
609831newsML.xml,23 (0.9954629629629556),36 (9.259259259510666e-05),49 (9.259259259269172e-05)
610507newsML.xml,29 (0.31034772880789685),4 (0.14539258572523062),24 (0.1318199571863188)
569596newsML.xml,21 (0.6243577442219513),12 (0.36978859724145596),49 (0.00012195121951234537)
569075newsML.xml,32 (0.45889374655219933),25 (0.2716712302567829),29 (0.18815517655646574)
609000newsML.xml,10 (0.3286478205402604),1 (0.27828600915948565),44 (0.20437261808123744)
522487newsML.xml,35 (0.5708706164900055),13 (0.24671581000374937),22 (0.12919384088008784)
570058newsML.xml,29 (0.5582558328147427),39 (0.23812296239527034),21 (0.12247236745488307)
612028newsML.xml,42 (0.3696669173365241),17 (0.32248744089606035),13 (0.2661322182388737)
479728newsML.xml,13 (0.39882915395273005),10 (0.28139363025140773),23 (0.27431279649406143)
479202newsML.xml,39 (0.3965804686284158),5 (0.1912814177079136),6 (0.14491070098272654)
570091newsML.xml,29 (0.6023963789240631),39 (0.22256522447284055),3 (0.12438969051669944)
709651newsML.xml,23 (0.4652469076712462),39 (0.21564440220090214),25 (0.151861584209832)
570572newsML.xml,23 (0.3061086485979764),46 (0.30074857203589367),36 (0.20267384522174106)
569844newsML.xml,5 (0.571749512492201),42 (0.22623543402145269),24 (0.13581157715084957)
710160newsML.xml,37 (0.35445806915304395),41 (0.29249950718311957),35 (0.10198739352520111)
569243newsML.xml,1 (0.6104668693350419),42 (0.37404925969721153),49 (0.00032258064516137944)
569769newsML.xml,23 (0.44601431831848387),28 (0.2702916477416043),24 (0.10365610872475467)
610731newsML.xml,19 (0.8087609504831788),36 (0.09511536254849698),1 (0.07838783791170824)
712954newsML.xml,29 (0.5903441082043293),13 (0.21507981499058662),11 (0.09854878228556284)
479805newsML.xml,26 (0.7052404913381102),42 (0.26809284199521954),32 (0.000555555555555631)
479034newsML.xml,20 (0.36250195025229504),12 (0.29534710224494404),0 (0.21461902887074888)
522678newsML.xml,14 (0.9643595782076042),13 (0.023933104719213876),49 (0.00024390243902462907)
570744newsML.xml,42 (0.49854851714747),5 (0.18843832078642342),13 (0.10745738001750484)
609236newsML.xml,9 (0.36472670145360175),14 (0.2589525793325111),5 (0.20214705096384855)
610993newsML.xml,19 (0.9777272727272615),39 (0.00045454545454571324),49 (0.00045454545454567507)
569902newsML.xml,24 (0.6179328146981078),29 (0.07345337724158107),5 (0.06537137201670423)
479344newsML.xml,21 (0.32720280971254145),5 (0.27026733249343987),23 (0.1366413706740579)
522508newsML.xml,8 (0.549983213954696),18 (0.26584156011119275),26 (0.13648103434433617)
570434newsML.xml,47 (0.3412889300295548),23 (0.16632623025221507),12 (0.16036061142594404)
609146newsML.xml,38 (0.2811633969629554),24 (0.23351809347825903),44 (0.11646609249859911)
610488newsML.xml,16 (0.6222598575151714),4 (0.3363070135089446),49 (0.015403890686810561)
569133newsML.xml,16 (0.656332794516258),47 (0.11001885460351384),42 (0.10130447558946189)
569419newsML.xml,16 (0.721789906499657),23 (0.27076823303521175),12 (0.00015503875969023151)
610441newsML.xml,37 (0.40670011120476246),26 (0.34884218646652904),23 (0.18663699713177784)
522813newsML.xml,8 (0.32552617626083463),24 (0.31708229431109247),44 (0.2645426511141358)
609977newsML.xml,42 (0.7341341915075262),3 (0.09575876330230085),38 (0.094386868650849)
657581newsML.xml,27 (0.6717696173239774),5 (0.2537236271666173),4 (0.038214943460989324)
609370newsML.xml,16 (0.5192616828789748),42 (0.2194731355344829),17 (0.08840305418053286)
570328newsML.xml,38 (0.9482381027943049),22 (0.02571805453838061),14 (0.015826451362952663)
609693newsML.xml,29 (0.26444739527266653),39 (0.20138274626983288),10 (0.12576355415949794)
479458newsML.xml,32 (0.4498123190514414),34 (0.3297448223361445),29 (0.15031348792885849)
479172newsML.xml,16 (0.7280355234485957),34 (0.12678906976219528),19 (0.050243341223627155)
479491newsML.xml,23 (0.5264867356141453),37 (0.2927483403907602),10 (0.13485584922829597)
570602newsML.xml,24 (0.40491524118239347),23 (0.400822414835376),37 (0.11350803211533943)
645394newsML.xml,27 (0.5190409910538949),4 (0.1855739698231666),11 (0.16237633033643242)
479943newsML.xml,42 (0.6024664419866561),32 (0.2569636479181881),40 (0.13280131505382908)
712812newsML.xml,14 (0.6278439528174565),44 (0.18527729990692446),30 (0.1118571327253297)
610677newsML.xml,19 (0.9163741062246064),6 (0.06362589377485368),39 (0.000416666667190191)
610394newsML.xml,14 (0.2877102380972903),24 (0.170416818924475),28 (0.12858738205831832)
477997newsML.xml,23 (0.5716321026818634),3 (0.34867991508730617),24 (0.05283083937302349)
569305newsML.xml,16 (0.7324496758744176),4 (0.1003325079599277),32 (0.06530315531676292)
569023newsML.xml,12 (0.6570549219570756),35 (0.17376721886709406),48 (0.09233049445294522)
610598newsML.xml,19 (0.9795833333333293),39 (0.00041666666666674617),49 (0.0004166666666667461)
569509newsML.xml,28 (0.44142415896133413),36 (0.224448337809081),24 (0.1355781986893336)
610551newsML.xml,4 (0.5697089624441752),16 (0.21722522266926153),29 (0.2099008317215749)
731764newsML.xml,41 (0.5142414967504066),5 (0.10864638367437465),7 (0.08752429676429475)
609867newsML.xml,15 (0.9705739232395095),23 (0.02638810207694546),12 (6.32911392405263e-05)
657458newsML.xml,21 (0.4673834096335728),41 (0.21695780852793042),46 (0.1911848431588336)
610883newsML.xml,19 (0.9803999999999925),49 (0.0004000000000001486),12 (0.0004000000000001486)
569812newsML.xml,16 (0.5544434333171965),42 (0.13226602484273692),2 (0.11633517117500176)
570524newsML.xml,12 (0.7154015633435806),16 (0.24685101323867445),45 (0.02628400878359023)
479254newsML.xml,5 (0.6979313318940278),38 (0.1292857777256881),8 (0.07188751365049803)
609056newsML.xml,4 (0.6621209449942199),14 (0.16368046686342497),16 (0.07414690757695819)
645284newsML.xml,14 (0.40010536922298034),3 (0.30982814617290255),33 (0.10825115894491405)
479853newsML.xml,37 (0.8972974149378974),12 (0.08972961208911454),11 (0.0002702702702705886)
610284newsML.xml,33 (0.4081005906507407),47 (0.32191036228076764),30 (0.25762062601582203)
477887newsML.xml,1 (0.4323616586679415),25 (0.1973344432434505),44 (0.10653585282022597)
610767newsML.xml,19 (0.979999999999993),49 (0.0004081632653062601),12 (0.0004081632653062601)
569215newsML.xml,24 (0.5874186302980865),16 (0.10319403084506666),41 (0.07198556256935777)
609783newsML.xml,39 (0.8418556795230754),45 (0.13814432047688138),49 (0.00041666666666756555)
479548newsML.xml,23 (0.34613844534929006),5 (0.26284975264727467),42 (0.24905466149387634)
609260newsML.xml,42 (0.857369122205378),26 (0.1318443609406634),49 (0.0002247191011241399)
570238newsML.xml,23 (0.9791489361702042),39 (0.00042553191489379456),49 (0.0004255319148937888)
570712newsML.xml,16 (0.9185329185961024),42 (0.06931518266970063),49 (0.00025316455696243543)
479581newsML.xml,36 (0.6902707760973814),39 (0.14533121537335245),17 (0.12501224226954777)
479062newsML.xml,16 (0.8020629386772801),49 (0.07463656122428912),19 (0.05861834354469475)
479638newsML.xml,39 (0.8634306782823922),29 (0.11195393710218025),49 (0.0005128205128214092)
609110newsML.xml,29 (0.4432747113913489),23 (0.22885322797831162),25 (0.11275032078939695)
522597newsML.xml,8 (0.871138012567991),20 (0.10653640603665265),49 (0.0004651162790699143)
570148newsML.xml,39 (0.984923076923068),49 (0.0003076923076924922),11 (0.0003076923076924922)
570462newsML.xml,42 (0.9268529901707043),40 (0.06325010261275706),0 (0.00020618556701122246)
570181newsML.xml,39 (0.9158791409871895),38 (0.06600765146562158),49 (0.000377358490566433)
479312newsML.xml,39 (0.8070745724811839),43 (0.11605920017325426),38 (0.03947724287568168)
569954newsML.xml,10 (0.5967172125852396),16 (0.38873733286929574),49 (0.0003030303030305101)
645417newsML.xml,37 (0.5358593045680917),46 (0.4277600402131718),1 (0.02332509966315487)
570979newsML.xml,19 (0.9754999999999936),49 (0.000500000000000125),12 (0.000500000000000125)
609921newsML.xml,16 (0.5982692298341936),43 (0.24967473758208497),12 (0.07328479765629006)
522845newsML.xml,40 (0.5694057038908165),46 (0.39363243716944735),6 (0.03252789667557998)
610417newsML.xml,29 (0.5735985802241653),9 (0.25250364657031127),32 (0.15509777320547924)
569165newsML.xml,16 (0.8651819989569963),1 (0.11933413007524833),49 (0.00032258064516156603)
801360newsML.xml,24 (0.349609766498109),38 (0.2927372898180942),44 (0.14138049188262158)
569486newsML.xml,27 (0.5925394488089403),5 (0.3763694890102509),24 (0.022866261023806077)
537277newsML.xml,18 (0.39146295147789634),27 (0.151384799974235),44 (0.1328519855850578)
666240newsML.xml,11 (0.6045355039053114),22 (0.21523568515004526),37 (0.09905534526117384)
570654newsML.xml,38 (0.5434193741837079),29 (0.2175046139038612),20 (0.16447738260664732)
522768newsML.xml,33 (0.9969374999999953),44 (6.250000000078171e-05),49 (6.250000000008443e-05)
479124newsML.xml,5 (0.5411862683718944),33 (0.21517335264264098),27 (0.09562458593246477)
609326newsML.xml,42 (0.4450797032016264),28 (0.28252947012894203),32 (0.14285952212567066)
569353newsML.xml,16 (0.432517298543049),45 (0.16511636293852902),42 (0.15115377447830428)
477908newsML.xml,36 (0.6938828871756061),12 (0.21466689652607931),19 (0.04104422321733943)
569679newsML.xml,12 (0.7389087713391773),27 (0.1852441430094615),16 (0.07241642871704981)
610621newsML.xml,16 (0.5519244750081409),43 (0.15806957962941848),22 (0.15443010559702092)
479915newsML.xml,47 (0.8548089929044713),35 (0.11114526167045845),27 (0.03113552870678863)
608320newsML.xml,25 (0.4364718635415324),23 (0.42739912205161684),16 (0.08022693108025294)
478408newsML.xml,16 (0.9028243280113544),39 (0.030421604709891605),40 (0.028203227540362575)
478122newsML.xml,42 (0.4064321040348198),39 (0.27838777930325903),23 (0.1915115596306795)
694297newsML.xml,45 (0.28528920792672297),33 (0.2727568277013215),22 (0.2305271953450992)
611627newsML.xml,19 (0.972777777777774),49 (0.0005555555555556282),12 (0.0005555555555556282)
568355newsML.xml,39 (0.9691896856796229),19 (0.018178735372993384),49 (0.00026315789473716373)
480534newsML.xml,5 (0.5100871174091004),37 (0.38981375382766287),19 (0.09328753456031909)
478913newsML.xml,4 (0.5276765652118124),41 (0.40567307509539463),25 (0.0607753596927809)
665769newsML.xml,5 (0.7590989777611702),10 (0.11801524771274698),17 (0.07298799848126196)
571187newsML.xml,47 (0.9195057455809456),27 (0.06979993776898342),11 (0.006873178438675168)
478314newsML.xml,22 (0.5238372815607454),27 (0.22413140701199558),9 (0.11322056253082935)
694542newsML.xml,12 (0.716731089174273),10 (0.13019961400794858),29 (0.05738531272087313)
568952newsML.xml,39 (0.4210568509172904),12 (0.24391413635395284),24 (0.13343912857359727)
608927newsML.xml,8 (0.19153988191672894),9 (0.18272909047598587),37 (0.17914605311673001)
480228newsML.xml,16 (0.9494789340950146),40 (0.018602504533391802),28 (0.01788871062528067)
480702newsML.xml,16 (0.7504643541038267),25 (0.07143977758295571),4 (0.05769217974498296)
568480newsML.xml,39 (0.9340340843554418),28 (0.042551281498206965),49 (0.0004878048780489817)
611411newsML.xml,19 (0.9097382109014911),3 (0.0689284557651561),49 (0.0004444444444448451)
568449newsML.xml,16 (0.7847492301880731),23 (0.11294814016193953),36 (0.06416247107244465)
480158newsML.xml,16 (0.5988814741500517),39 (0.237071981678086),15 (0.13358333977835196)
480472newsML.xml,20 (0.4149341398945418),23 (0.3505801985573114),30 (0.13831960017266579)
480191newsML.xml,42 (0.5496104487194635),29 (0.2845880538294339),35 (0.14342054507014174)
478855newsML.xml,46 (0.5540975635124736),2 (0.37630927078423393),30 (0.0344982860745701)
611761newsML.xml,19 (0.8908676381589956),12 (0.08826279662361017),43 (0.00043478260869573166)
568739newsML.xml,16 (0.5411729893462079),13 (0.4075684221103717),39 (0.023165188282295496)
611282newsML.xml,19 (0.9119392863124073),43 (0.06763518177267082),49 (0.0004255319148942022)
478064newsML.xml,42 (0.7223232633693224),23 (0.1969650685888965),39 (0.06477946465193644)
478587newsML.xml,24 (0.9279020042355299),44 (0.045948102834794106),30 (0.022816559596334978)
660716newsML.xml,44 (0.6663660352324847),17 (0.11908402078218956),41 (0.08468004973161306)
694632newsML.xml,41 (0.31826924367081516),30 (0.26769447052126893),2 (0.20927877418816673)
608266newsML.xml,23 (0.5513766151863972),3 (0.14421870578463641),26 (0.08908068155463446)
694318newsML.xml,0 (0.3751282219114372),8 (0.3676046975439764),10 (0.13407958205551546)
608785newsML.xml,37 (0.9396404841935022),43 (0.02586911358252528),40 (0.021613689895178163)
611557newsML.xml,19 (0.9772093023255732),49 (0.0004651162790699298),12 (0.0004651162790699298)
480644newsML.xml,29 (0.631110711859117),13 (0.22014588165367163),1 (0.1316524973962806)
608861newsML.xml,16 (0.7594933630528645),48 (0.11157273528352081),24 (0.046533237617320436)
568814newsML.xml,40 (0.786632406333968),14 (0.10999748244018367),29 (0.09714494566292793)
611885newsML.xml,24 (0.1936279789058759),30 (0.16504941315219826),16 (0.15485778317446017)
536101newsML.xml,30 (0.8374643422792682),44 (0.08994638201916694),18 (0.042270528795634664)
571008newsML.xml,19 (0.9777272727272514),49 (0.00045454545454588573),12 (0.00045454545454588573)
478778newsML.xml,2 (0.2604564688517123),31 (0.24555969380866496),12 (0.174478289718958)
478252newsML.xml,16 (0.4235130876857454),42 (0.3153252710608232),11 (0.13812776394176673)
694404newsML.xml,46 (0.47120543811838095),31 (0.44153165317344967),2 (0.07894432463735448)
656945newsML.xml,49 (0.3158509639462673),37 (0.2853707243936134),24 (0.1434282191930525)
570132newsML.xml,28 (0.380962180220439),37 (0.3115351355298338),23 (0.29739515736799277)
609489newsML.xml,25 (0.5686322607850691),41 (0.42414969410213393),49 (0.00015037593984993587)
479642newsML.xml,39 (0.728909086903758),43 (0.10213903362683116),12 (0.10073660565249584)
712239newsML.xml,36 (0.7194455430092579),37 (0.08094869415322435),38 (0.0781536017769031)
522524newsML.xml,44 (0.6688416900600561),8 (0.31959204487963294),49 (0.00024096385542314824)
479368newsML.xml,42 (0.820297314631123),36 (0.09664126193356891),40 (0.06068047105414772)
570418newsML.xml,34 (0.5967780650902389),46 (0.14126144100474775),30 (0.13523122844435329)
609440newsML.xml,5 (0.4307629587172723),27 (0.2092692125065313),44 (0.14259621254353194)
610976newsML.xml,19 (0.9602769988100325),43 (0.021945223412182188),49 (0.0003703703703705232)
634130newsML.xml,9 (0.8458744605614794),17 (0.12578911210004226),46 (0.020503094005126447)
789751newsML.xml,25 (0.3230777311324424),32 (0.2318369661029262),29 (0.20752957436245872)
609992newsML.xml,41 (0.4268626206643911),14 (0.3056371392991014),5 (0.09099360591686162)
570903newsML.xml,39 (0.33397158716501435),4 (0.1973319013986878),23 (0.1585164719619583)
645147newsML.xml,35 (0.4007361206621635),22 (0.3312228294511575),46 (0.1667262215166289)
569435newsML.xml,16 (0.6590169084749165),24 (0.10181190656544681),39 (0.07027944414146219)
619585newsML.xml,40 (0.9717505842691831),23 (0.02596913069518413),49 (4.7505938242349265e-05)
610147newsML.xml,18 (0.9726658542117327),14 (0.020240915705411915),41 (0.004902087891709736)
609395newsML.xml,33 (0.4064679995881264),2 (0.31589885634323506),16 (0.2095210651884109)
522712newsML.xml,14 (0.3617200535979645),33 (0.25768434764267306),41 (0.12080263630376106)
609676newsML.xml,32 (0.4151373667041122),34 (0.274920685337373),13 (0.2063416230194836)
479197newsML.xml,27 (0.7256946330529533),23 (0.2625980498738585),49 (0.0002439024390247544)
570304newsML.xml,42 (0.9152260395355405),32 (0.07373947770583356),49 (0.000229885057471376)
479474newsML.xml,43 (0.5216949964901227),24 (0.14861467829614422),20 (0.12666353847231696)
610692newsML.xml,19 (0.9811538461530347),3 (0.00038461538541727084),49 (0.00038461538461557896)
610371newsML.xml,11 (0.9974278215223085),12 (5.2493438320240056e-05),22 (5.2493438320240056e-05)
569329newsML.xml,43 (0.40843370820948677),29 (0.36170075645812166),39 (0.08566019179239766)
477972newsML.xml,39 (0.5627582315618433),42 (0.1801062732225201),25 (0.06583084178203538)
569603newsML.xml,23 (0.6277062461712675),42 (0.1458373787781228),39 (0.12110541011496594)
645371newsML.xml,41 (0.6906964452799425),40 (0.14946497693061853),30 (0.1352673380034111)
610001newsML.xml,30 (0.5083086517415079),18 (0.45334574116961723),23 (0.01829499009615519)
569059newsML.xml,24 (0.295879346940367),1 (0.22691157498377237),5 (0.0943817036659976)
569573newsML.xml,42 (0.8035121064094555),7 (0.1854534108318925),0 (0.0002298850574719247)
569090newsML.xml,16 (0.7986526046956459),1 (0.0959101287461059),13 (0.07426699872109455)
570845newsML.xml,29 (0.5029438267896323),13 (0.2550682718283556),16 (0.22280422791251042)
789617newsML.xml,44 (0.5850595953855846),8 (0.3957404046142857),49 (0.0004000000000027005)
619911newsML.xml,11 (0.29476972889745284),29 (0.1959373420661263),12 (0.13363910865118753)
569868newsML.xml,44 (0.8922487189962872),20 (0.08803435944838611),22 (0.01471692155531468)
610830newsML.xml,19 (0.9815094339622588),49 (0.00037735849056614354),12 (0.00037735849056614354)
712655newsML.xml,30 (0.9945555555555461),49 (0.00011111111111129951),12 (0.00011111111111129951)
609506newsML.xml,41 (0.3926666235618083),44 (0.327262515530743),11 (0.07771331753175986)
612004newsML.xml,13 (0.3084118568149643),24 (0.2154606617356958),44 (0.16481552783036416)
570074newsML.xml,29 (0.6170571832893952),39 (0.2283515242911645),21 (0.1284801813082351)
479704newsML.xml,23 (0.4927539156188423),12 (0.23194934132953418),21 (0.1397296819004221)
570597newsML.xml,5 (0.4674427407245652),44 (0.1683575391367813),24 (0.13029864376647649)
479829newsML.xml,43 (0.173098455238424),2 (0.16854449397729643),10 (0.16408539497056104)
645237newsML.xml,30 (0.5120541537559222),0 (0.23196590754820628),14 (0.16027888869908383)
569745newsML.xml,23 (0.45004852127919015),14 (0.2702958478549672),37 (0.1419080072981986)
610237newsML.xml,15 (0.2792685079426085),23 (0.18393124748906028),25 (0.16851515804295922)
